SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLDAF2DG,Aditya Birla Sun Life DAF - Series 2 (1180D)-DP-GO,MF,11-FEB-2019,10,1,INF209KB1E19,10
ABSLDAF2DN,Aditya Birla Sun Life DAF - Series 2 (1180D)-DP-DPO,MF,11-FEB-2019,10,1,INF209KB1E27,10
ABSLDAF2RG,Aditya Birla Sun Life DAF - Series 2 (1180D)-RP-GO,MF,11-FEB-2019,10,1,INF209KB1D93,10
ABSLDAF2RN,Aditya Birla Sun Life DAF - Series 2 (1180D)-RP-DPO,MF,11-FEB-2019,10,1,INF209KB1E01,10
ABSLFTPUDG,Aditya Birla Sun Life Mutual Fund - ABSLFTP Series PU - DPGO,MF,22-MAY-2018,10,1,INF209KB1PF7,10
ABSLFTPUDN,Aditya Birla Sun Life Mutual Fund - ABSLFTP Series PU - DPNDPO,MF,22-MAY-2018,10,1,INF209KB1PG5,10
ABSLFTPUDQ,Aditya Birla Sun Life Mutual Fund - ABSLFTP Series PU - DPQDPO,MF,22-MAY-2018,10,1,INF209KB1PH3,10
ABSLFTPURG,Aditya Birla Sun Life Mutual Fund - ABSLFTP Series PU - RPGO,MF,22-MAY-2018,10,1,INF209KB1PC4,10
ABSLFTPURN,Aditya Birla Sun Life Mutual Fund - ABSLFTP Series PU - RPNDPO,MF,22-MAY-2018,10,1,INF209KB1PD2,10
ABSLFTPURQ,Aditya Birla Sun Life Mutual Fund - ABSLFTP Series PU - RPQDPO,MF,22-MAY-2018,10,1,INF209KB1PE0,10
ABSLFTPVDG,Aditya Birla Sun Life Mutual Fund - FTP - DPG,MF,24-MAY-2018,10,1,INF209KB1PL5,10
ABSLFTPVDN,Aditya Birla Sun Life Mutual Fund - FTP - DPNDP,MF,24-MAY-2018,10,1,INF209KB1PM3,10
ABSLFTPVDQ,Aditya Birla Sun Life Mutual Fund - FTP - DPQDP,MF,24-MAY-2018,10,1,INF209KB1PN1,10
ABSLFTPVRG,Aditya Birla Sun Life Mutual Fund - FTP - RPG,MF,24-MAY-2018,10,1,INF209KB1PI1,10
ABSLFTPVRN,Aditya Birla Sun Life Mutual Fund - FTP - RPNDP,MF,24-MAY-2018,10,1,INF209KB1PJ9,10
ABSLFTPVRQ,Aditya Birla Sun Life Mutual Fund - FTP - RPQDP,MF,24-MAY-2018,10,1,INF209KB1PK7,10
ABSLFTPYDG,Aditya Birla Sun Life Mutual Fund - ABSLFTP Sr PY(1409 days)-DPG,MF,05-JUN-2018,10,1,INF209KB1QD0,10
ABSLFTPYDN,Aditya Birla Sun Life Mutual Fund - ABSLFTP Sr PY(1409 days)-DPNDP,MF,05-JUN-2018,10,1,INF209KB1QE8,10
ABSLFTPYDQ,Aditya Birla Sun Life Mutual Fund - ABSLFTP Sr PY(1409 days)- DPQDP,MF,05-JUN-2018,10,1,INF209KB1QF5,10
ABSLFTPYRG,Aditya Birla Sun Life Mutual Fund - ABSLFTP Sr PY(1409 days)-RPG,MF,05-JUN-2018,10,1,INF209KB1QA6,10
ABSLFTPZDG,Aditya Birla Sun Life - FTP - DPG,MF,07-JUN-2018,10,1,INF209KB1QJ7,10
ABSLFTPZDN,Aditya Birla Sun Life - FTP - DPNDP,MF,07-JUN-2018,10,1,INF209KB1QK5,10
ABSLFTPZDQ,Aditya Birla Sun Life - FTP - DPQDP,MF,07-JUN-2018,10,1,INF209KB1QL3,10
ABSLFTPZRG,Aditya Birla Sun Life - FTP - RPG,MF,07-JUN-2018,10,1,INF209KB1QG3,10
ABSLFTPZRN,Aditya Birla Sun Life - FTP - RPNDP,MF,07-JUN-2018,10,1,INF209KB1QH1,10
ABSLFTPZRQ,Aditya Birla Sun Life - FTP - RPQDP,MF,07-JUN-2018,10,1,INF209KB1QI9,10
ABSLFTQBDG,Aditya Birla Sun Life Mutual Fund-ABSLFT-DPG,MF,14-JUN-2018,10,1,INF209KB1QT6,10
ABSLFTQBDN,Aditya Birla Sun Life Mutual Fund-ABSLFT-DPNDP,MF,14-JUN-2018,10,1,INF209KB1QU4,10
ABSLFTQBDQ,Aditya Birla Sun Life Mutual Fund-ABSLFT-DPQDP,MF,14-JUN-2018,10,1,INF209KB1QV2,10
ABSLFTQBRG,Aditya Birla Sun Life Mutual Fund-ABSLFT-RPG,MF,14-JUN-2018,10,1,INF209KB1QQ2,10
ABSLFTQBRN,Aditya Birla Sun Life Mutual Fund-ABSLFT-RPNDP,MF,14-JUN-2018,10,1,INF209KB1QR0,10
ABSLFTQBRQ,Aditya Birla Sun Life Mutual Fund -ABSLFT-RPQDP,MF,14-JUN-2018,10,1,INF209KB1QS8,10
ABSLFTQCDG,Aditya Birla Sun Life FTP - DPG,MF,19-JUN-2018,10,1,INF209KB1QZ3,10
ABSLFTQCDN,Aditya Birla Sun Life FTP - DPNDP,MF,19-JUN-2018,10,1,INF209KB1RA4,10
ABSLFTQCDQ,Aditya Birla Sun Life FTP - DPQDP,MF,19-JUN-2018,10,1,INF209KB1RB2,10
ABSLFTQCRG,Aditya Birla Sun Life FTP - RPG,MF,19-JUN-2018,10,1,INF209KB1QW0,10
ABSLFTQCRN,Aditya Birla Sun Life FTP - RPNDP,MF,19-JUN-2018,10,1,INF209KB1QX8,10
ABSLFTQCRQ,Aditya Birla Sun Life FTP - RPQDP,MF,19-JUN-2018,10,1,INF209KB1QY6,10
ABSLFTQEDG,Aditya Birla Sun Life Fixed Term Plan - Series QE (1101 days) - DPG,MF,26-JUN-2018,10,1,INF209KB1RJ5,10
ABSLFTQEDN,Aditya Birla Sun Life Fixed Term Plan - Series QE (1101 days)DPNDP,MF,26-JUN-2018,10,1,INF209KB1RK3,10
ABSLFTQERG,Aditya Birla Sun Life Fixed Term Plan - Series QE (1101 days) - RPG,MF,26-JUN-2018,10,1,INF209KB1RG1,10
ABSLFTQFDG,Aditya Birla SunLife Mutual Fund-Aditya Birla SunLife FTP-S.QF-DPG,MF,28-JUN-2018,10,1,INF209KB1RP2,10
ABSLFTQFDQ,Aditya Birla SunLife Mutual Fund-Aditya Birla SunLife FTP-S.QF-DPQDP,MF,28-JUN-2018,10,1,INF209KB1RR8,10
ABSLFTQFRG,Aditya Birla SunLife Mutual Fund-Aditya Birla SunLife FTP-S.QF-RPG,MF,28-JUN-2018,10,1,INF209KB1RM9,10
ABSLFTQFRN,Aditya Birla SunLife Mutual Fund-Aditya Birla SunLife FTP-S.QF-RPNDP,MF,28-JUN-2018,10,1,INF209KB1RN7,10
ABSLFTQFRQ,Aditya Birla SunLife Mutual Fund-Aditya Birla SunLife FTP-S.QF-RPQDP,MF,28-JUN-2018,10,1,INF209KB1RO5,10
ABSLFTQGDG,Aditya Birla Sun Life FTP - DPG,MF,03-JUL-2018,10,1,INF209KB1RV0,10
ABSLFTQGDN,Aditya Birla Sun Life FTP - DPNDP,MF,03-JUL-2018,10,1,INF209KB1RW8,10
ABSLFTQGRG,Aditya Birla Sun Life FTP - RPG,MF,03-JUL-2018,10,1,INF209KB1RS6,10
ABSLFTQGRN,Aditya Birla Sun Life FTP - RPNDP,MF,03-JUL-2018,10,1,INF209KB1RT4,10
ABSLFTQGRQ,Aditya Birla Sun Life FTP - RPQDP,MF,03-JUL-2018,10,1,INF209KB1RU2,10
ABSLFTQHDG,Aditya Birla Sun Life MF - ABSL FTP Sr. QH (1101 days) - DP - G,MF,03-JUL-2018,10,1,INF209KB1SA2,10
ABSLFTQHDN,Aditya Birla Sun Life MF - ABSL FTP Sr. QH (1101 days) - DP - NDP,MF,03-JUL-2018,10,1,INF209KB1SB0,10
ABSLFTQHDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. QH (1101 days) - DP - QDP,MF,03-JUL-2018,10,1,INF209KB1SC8,10
ABSLFTQHRG,Aditya Birla Sun Life MF - ABSL FTP Sr. QH (1101 days) - RP - G,MF,03-JUL-2018,10,1,INF209KB1SD6,10
ABSLFTQHRN,Aditya Birla Sun Life MF - ABSL FTP Sr. QH (1101 days) - RP - NDP,MF,03-JUL-2018,10,1,INF209KB1RY4,10
ABSLFTQHRQ,Aditya Birla Sun Life MF - ABSL FTP Sr. QH (1101 days) - RP - QDP,MF,03-JUL-2018,10,1,INF209KB1RZ1,10
ABSLFTQIDG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPG,MF,05-JUL-2018,10,1,INF209KB1SH7,10
ABSLFTQIDN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPNDP,MF,05-JUL-2018,10,1,INF209KB1SI5,10
ABSLFTQIRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPG,MF,05-JUL-2018,10,1,INF209KB1SE4,10
ABSLFTQIRN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPNDP,MF,05-JUL-2018,10,1,INF209KB1SF1,10
ABSLFTQIRQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPQDP,MF,05-JUL-2018,10,1,INF209KB1SG9,10
ABSLFTQJDG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-DPG,MF,12-JUL-2018,10,1,INF209KB1SN5,10
ABSLFTQJRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPG,MF,12-JUL-2018,10,1,INF209KB1SK1,10
ABSLFTQJRN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPNDP,MF,12-JUL-2018,10,1,INF209KB1SL9,10
ABSLFTQJRQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPQDP,MF,12-JUL-2018,10,1,INF209KB1SM7,10
ABSLFTQKDG,ABSL MF- Aditya Birla Sun Life FTP Sr. QK (1099) - DP- G,MF,13-JUL-2018,10,1,INF209KB1SZ9,10
ABSLFTQKDQ,ABSL MF- Aditya Birla Sun Life FTP Sr. QK (1099)  - DP- QDP,MF,13-JUL-2018,10,1,INF209KB1TB8,10
ABSLFTQKRG,Aditya Birla Sun Life MF-ABSL FTP Sr. QK (1099)  - RP- G,MF,13-JUL-2018,10,1,INF209KB1SW6,10
ABSLFTQKRN,ABSL MF- Aditya Birla Sun Life FTP Sr. QK (1099) - RP- NDP,MF,13-JUL-2018,10,1,INF209KB1SX4,10
ABSLFTQLDG,Aditya Birla Sun Life Mutual Fund - FTP - Ser QL (1099 days) - DPG,MF,17-JUL-2018,10,1,INF209KB1ST2,10
ABSLFTQLDQ,Aditya Birla Sun Life Mutual Fund - FTP - Ser QL (1099 days) - DPQDP,MF,17-JUL-2018,10,1,INF209KB1SV8,10
ABSLFTQLRG,Aditya Birla Sun Life Mutual Fund -  FTP - Ser QL (1099 days) - RPG,MF,17-JUL-2018,10,1,INF209KB1SQ8,10
ABSLFTQLRN,Aditya Birla Sun Life Mutual Fund -  FTP - Ser QL (1099 days) - R PNDP,MF,17-JUL-2018,10,1,INF209KB1SR6,10
ABSLFTQLRQ,Aditya Birla Sun Life Mutual Fund - FTP - Ser QL (1099 days) - RPQDP,MF,17-JUL-2018,10,1,INF209KB1SS4,10
